name,description,file,essential/nonessential,
app?,generalapplicationserver,/app.arc,nonessential,
arcscript?,Utilities?,/arcscript.arc,?,
avl-trees,AVLTreeLibrary,/avl-tree.arc,nonessential?,
arc-binary?,binarymanipulationlibrary?,/binary.arc,nonessential,
arcblog?,SimpleBlog,/blog.arc,nonessential,
arc-code-analysis?,codeanalysislibrary,/code.arc,nonessential,
arc-crypto?,arccrypto-primitiveslibrary,/crypto.arc,nonessential,
date,dateparser,/date.arc,essential,
declare?,?,/declare.arc,?,
defpat,patternmatchinglibrary,/defpat.arc,essential,
dispatch?,webtoolkit?,/dispatch.arc,nonessential,
dotted?,dottedlistprocessing,/dotted.arc,essential,
files?,filesystemutility,/files.arc,essential?,
fleetdb,fleetDBlibrary,/fleetdb.arc,nonessential,
formtests,htmlformutility,/form-tests.arc,nonessential,
help,help,/help.arc,essential,
arc-html,htmlutilitylibrary,/html.arc,nonessential,
arc-http,arcimplementationofhttp,/http.arc,nonessential,
arc-irc,arcircserver,/irc.arc,nonessential,
arc-json,jsonparser,/json.arc,essential?,
lang,Callotherlanguages(PerlandPython)fromArc,/lang.arc,nonessential,
lru-cache,augmentafunctionwithacacheofitsmostrecentcalls,/lru-cache.arc,nonessential,
math,mathlibrary,/math.arc,essential,
arcnews,Hackernewsstyleapplication,Staying,
ns,UtilitiesformanagingRacketmodulesandnamespaces,/ns.arc,essential,
ppr,pretty-print,/ppr.arc,essential?,
prompt,Prompt:Web-basedprogrammingapplication,/prompt.arc,nonessential,
queue,queueutility,/queue.arc,nonessential,
rainbow-test?,test-runner,/rainbow-test.arc,nonessential,
re,regexutility,/re.arc,essential?,
require,moduleloader?,/require.arc,essential,
scheme?,?,/scheme.arc,?,
skipshite,Skipwhitespaces,/skipwhite.arc,nonessential,
sml,S-ExpressionMetaLanguageforXML,/sml.arc,nonessential,
splicable-list,SplicableList,/spliceable-list.arc,essential,
http-server,httpserver,/srv.arc,nonessential,
statistics,statisticsandmatricieslibrary,/statistics.arc,nonessential,
lazy-streams,lazystreamsusingeitherlazy-consorlazy-gen,/streams.arc,nonessential,
strings,stringutilitylibrary,/strings.arc,essential,
table-rw,ablereader/writer,/table-rw.arc,nonessential,
tem-report,?,/tem-report.arc3,nonessential?,
tem?,arctemplatelibrary,/tem.arc,essential?
template?,turnadjacentcharactersintoastring,/template.arc,nonessential,
text,drainfandpump,/text.arc,essential?,
trace,function&macrotracing,/trace.arc,nonessential,
tree,differentwaystonavigatetrees,/tree.arc,nonessential,
util,Acollectionofusefulmiscellanea,/util.arc,nonessential,
arc-web?,webutilitylibrary?,/web.arc,nonessential,
wills,Simplifiedinterfacetopltscheme'swillexecutors,/wills.arc,nonessential